name,n_annotations,n_images,box_length,size_ranges
$penguins$,7473,306,$255 \pm 118$,"([2048, 1536], [2048, 1536])"
$branches$,2249,451,$41.5 \pm 13.9$,"([400, 400], [400, 400])"
$seals$,4351,240,$68.7 \pm 20.8$,"([3920, 1600], [3920, 1600])"
$seals_b$,1256,82,$63.4 \pm 17$,"([3920, 1600], [3920, 1600])"
$scott\:base$,7759,301,$15 \pm 3.21$,"([3927, 500], [5200, 700])"
$apples^1$,21637,300,$78.4 \pm 14.9$,"([2592, 1728], [2592, 1728])"
$apples^2$,13418,168,$92.8 \pm 11.9$,"([3008, 2008], [3008, 2008])"
$scallops_e$,3669,6741,$114 \pm 40.2$,"([1280, 1024], [1280, 1024])"
$fisheye$,2598,367,$96.6 \pm 32.7$,"([2048, 1944], [2048, 1944])"
$buoys_d$,7221,207,$38.9 \pm 42.8$,"([1920, 1080], [1920, 1080])"
$penguin\:survey$,13210,352,$22.6 \pm 2.11$,"([406, 405], [672, 448])"
