name,n_actions,n_annotations,total_minutes,instances_minute,actions_minute,actions_annotation
$penguins$,$7.81 \pm 7.31$,7473,140,53.5,17,0.318
$branches$,$2.67 \pm 2.04$,2249,63,35.7,19,0.532
$seals$,$3.45 \pm 3.94$,4351,89.8,48.5,9.21,0.19
$seals_b$,$7.18 \pm 6.18$,1256,76.4,16.4,7.01,0.426
$scott\:base$,$6.02 \pm 6.4$,7759,123,63.1,14.6,0.232
$apples^1$,$19.8 \pm 20.5$,21637,511,42.4,11.5,0.27
$apples^2$,$23.7 \pm 13.2$,13420,364,36.9,10.7,0.289
$scallops_e$,$1.31 \pm 0.741$,3669,561,6.54,15.7,2.4
$fisheye$,$1.92 \pm 1.77$,2598,58.4,44.5,12,0.271
$buoys$,$18.8 \pm 14.3$,3896,106,36.9,14.7,0.4
$penguin\:survey$,$5.63 \pm 7.04$,13210,120,110,16.4,0.149
